kLOG,,,,
User specified data type,,Error message,Loss of precision,More detail
network input data type,network  output data type,"input: {0.0f, 0.5f, 1.0f, 1.5f, 2.0f}
期望输出: output:{-inf / -0.693147 / 0 / 0.405465 / 0.693147}",,
kFLOAT,kFLOAT,,mse=0.0,output:{-inf / -0.693147 / 0 / 0.405465 / 0.693147}
kFLOAT,kHALF,,mse=2.315e-08,output:{-inf / -0.693359 / 0 / 0.405518 / 0.693359}
kFLOAT,kINT8,,mse=0.13544734835,output:{-128 / -1 / 0 / 1 / 1}
kFLOAT,kINT32,,mse=0.28132684835,output:{-2.14748e+09 / 0 / 0 / 0 / 0}
kFLOAT,kBOOL,,mse=0.82859434835,output:{1 / 1 / 0 / 1 / 1}
network input data type,network  output data type,"input: {0.0f, 0.5f, 1.0f, 1.5f, 2.0f}
期望输出: output:{-inf / -0.693147 / 0 / 0.405465 / 0.693147}",,
kHALF,kFLOAT,,mse=2.315e-08,output:{-inf / -0.693359 / 0 / 0.405518 / 0.693359}
kHALF,kHALF,,mse=2.315e-08,output:{-inf / -0.693359 / 0 / 0.405518 / 0.693359}
kHALF,kINT8,,mse=0.13544734835,output:{-128 / -1 / 0 / 1 / 1}
kHALF,kINT32,,mse=0.28132684835,output:{-2.14748e+09 / 0 / 0 / 0 / 0}
kHALF,kBOOL,,mse=0.82859434835,output:{1 / 1 / 0 / 1 / 1}
network input data type,network  output data type,"input: {1, 2, 3, 4, 5}
期望输出: output:{0 / 0.693147 / 1.09861 / 1.38629 / 1.60944}",,
kINT8,kFLOAT,,mse=0.4696180295,output:{-0.685547 / 0.00778198 / 0.41333 / 0.701172 / 0.924316}
kINT8,kHALF,,mse=0.4696180295,output:{-0.685547 / 0.00778198 / 0.41333 / 0.701172 / 0.924316}
kINT8,kINT8,,mse=0.88544734835,output:{-1 / 0 / 1 / 1 / 2}
kINT8,kINT32,,mse=1.23989875468,output:{0 / 0 / 0 / 0 / 0}
kINT8,kBOOL,[E] [TRT] ../builder/cudnnBuilder2.cpp (1917) - Assertion Error in makePaddedScale: 0 (regionRanges != nullptr),,
network input data type,network  output data type,"input: {1, 2, 3, 4, 5}
期望输出: output:{0 / 0.693147 / 1.09861 / 1.38629 / 1.60944}",,
kINT32,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [Unary]: operation LOG not allowed on type Int32,,
kINT32,kHALF,,,
kINT32,kINT8,,,
kINT32,kINT32,,,
kINT32,kBOOL,,,
network input data type,network  output data type,"input: {true. false, true, false, true}
期望输出: ?",,
kBOOL,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [Unary]: operation LOG not allowed on type Bool,,
kBOOL,kHALF,,,
kBOOL,kINT8,,,
kBOOL,kINT32,,,
kBOOL,kBOOL,,,
