A dtype,B dtype,out dtype,A value,B value,out value,mse,details
kFLOAT,kFLOAT,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation OR requires boolean inputs.,,,,
kFLOAT,kFLOAT,kHALF,,,,,
kFLOAT,kFLOAT,kINT8,,,,,
kFLOAT,kFLOAT,kINT32,,,,,
kFLOAT,kFLOAT,kBOOL,,,,,
,,,,,,,
kFLOAT,kHALF,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation OR requires boolean inputs.,,,,
kFLOAT,kHALF,kHALF,,,,,
kFLOAT,kHALF,kINT8,,,,,
kFLOAT,kHALF,kINT32,,,,,
kFLOAT,kHALF,kBOOL,,,,,
,,,,,,,
kFLOAT,kINT8,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation OR requires boolean inputs.,,,,
kFLOAT,kINT8,kHALF,,,,,
kFLOAT,kINT8,kINT8,,,,,
kFLOAT,kINT8,kINT32,,,,,
kFLOAT,kINT8,kBOOL,,,,,
,,,,,,,
kFLOAT,kINT32,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation OR has incompatible input types Float and Int32,,,,
kFLOAT,kINT32,kHALF,,,,,
kFLOAT,kINT32,kINT8,,,,,
kFLOAT,kINT32,kINT32,,,,,
kFLOAT,kINT32,kBOOL,,,,,
,,,,,,,
kFLOAT,kBOOL,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation OR has incompatible input types Float and Bool,,,,
kFLOAT,kBOOL,kHALF,,,,,
kFLOAT,kBOOL,kINT8,,,,,
kFLOAT,kBOOL,kINT32,,,,,
kFLOAT,kBOOL,kBOOL,,,,,
,,,,,,,
kHALF,kHALF,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation OR requires boolean inputs.,,,,
kHALF,kHALF,kHALF,,,,,
kHALF,kHALF,kINT8,,,,,
kHALF,kHALF,kINT32,,,,,
kHALF,kHALF,kBOOL,,,,,
,,,,,,,
kHALF,kINT8,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation OR requires boolean inputs.,,,,
kHALF,kINT8,kHALF,,,,,
kHALF,kINT8,kINT8,,,,,
kHALF,kINT8,kINT32,,,,,
kHALF,kINT8,kBOOL,,,,,
,,,,,,,
kHALF,kINT32,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation OR has incompatible input types Half and Int32,,,,
kHALF,kINT32,kHALF,,,,,
kHALF,kINT32,kINT8,,,,,
kHALF,kINT32,kINT32,,,,,
kHALF,kINT32,kBOOL,,,,,
,,,,,,,
kHALF,kBOOL,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation OR has incompatible input types Half and Bool,,,,
kHALF,kBOOL,kHALF,,,,,
kHALF,kBOOL,kINT8,,,,,
kHALF,kBOOL,kINT32,,,,,
kHALF,kBOOL,kBOOL,,,,,
,,,,,,,
kINT8,kINT8,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation OR requires boolean inputs.,,,,
kINT8,kINT8,kHALF,,,,,
kINT8,kINT8,kINT8,,,,,
kINT8,kINT8,kINT32,,,,,
kINT8,kINT8,kBOOL,,,,,
,,,,,,,
kINT8,kINT32,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation OR has incompatible input types Int8 and Int32,,,,
kINT8,kINT32,kHALF,,,,,
kINT8,kINT32,kINT8,,,,,
kINT8,kINT32,kINT32,,,,,
kINT8,kINT32,kBOOL,,,,,
,,,,,,,
kINT8,kBOOL,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation OR has incompatible input types Int8 and Bool,,,,
kINT8,kBOOL,kHALF,,,,,
kINT8,kBOOL,kINT8,,,,,
kINT8,kBOOL,kINT32,,,,,
kINT8,kBOOL,kBOOL,,,,,
,,,,,,,
kINT32,kINT32,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation OR requires boolean inputs.,,,,
kINT32,kINT32,kHALF,,,,,
kINT32,kINT32,kINT8,,,,,
kINT32,kINT32,kINT32,,,,,
kINT32,kINT32,kBOOL,,,,,
,,,,,,,
kINT32,kBOOL,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation OR has incompatible input types Int32 and Bool,,,,
kINT32,kBOOL,kHALF,,,,,
kINT32,kBOOL,kINT8,,,,,
kINT32,kBOOL,kINT32,,,,,
kINT32,kBOOL,kBOOL,,,,,
,,,,,,,
kBOOL,kBOOL,kFLOAT,"true, false, true, false","true, false, true, false","1
0
1
0",,
kBOOL,kBOOL,kHALF,,,"1
0
1
0",,
kBOOL,kBOOL,kINT8,[E] [TRT] ../builder/cudnnBuilder2.cpp (1917) - Assertion Error in makePaddedScale: 0 (regionRanges != nullptr),,,,
kBOOL,kBOOL,kINT32,"true, false, true, false","true, false, true, false","1
0
1
0",,
kBOOL,kBOOL,kBOOL,,,"1
0
1
0",,
