A dtype,B dtype,out dtype,A value,B value,out value,mse,details
kFLOAT,kFLOAT,kFLOAT,"0.0f, 0.5f, 1.0f, 1.5f","0.0f, 0.5f, 1.0f, 1.5f","0
0.25
1
2.25",,
kFLOAT,kFLOAT,kHALF,,,"0
0.25
1
2.25",,
kFLOAT,kFLOAT,kINT8,,,"0
0
2
4",,
kFLOAT,kFLOAT,kINT32,,,"0
0
1
2",,
kFLOAT,kFLOAT,kBOOL,,,"0
1
1
1",,
,,,,,,,
kFLOAT,kHALF,kFLOAT,"0.0f, 0.5f, 1.0f, 1.5f","0.0f, 0.5f, 1.0f, 1.5f","0
0.25
1
2.25",,
kFLOAT,kHALF,kHALF,,,"0
0.25
1
2.25",,
kFLOAT,kHALF,kINT8,,,"0
0
2
4",,
kFLOAT,kHALF,kINT32,,,"0
0
1
2",,
kFLOAT,kHALF,kBOOL,,,"0
1
1
1",,
,,,,,,,
kFLOAT,kINT8,kFLOAT,"0.0f, 0.5f, 1.0f, 1.5f","1, 2, 3, 4","0
0.503937
1.51181
3.02362",,
kFLOAT,kINT8,kHALF,,,"0
0.503906
1.51172
3.02344",,
kFLOAT,kINT8,kINT8,,,"0
1
3
6",,
kFLOAT,kINT8,kINT32,,,"0
0
1
3",,
kFLOAT,kINT8,kBOOL,[E] [TRT] ../builder/cudnnBuilder2.cpp (1917) - Assertion Error in makePaddedScale: 0 (regionRanges != nullptr),,,,
,,,,,,,
kFLOAT,kINT32,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation PROD has incompatible input types Float and Int32,,,,
kFLOAT,kINT32,kHALF,,,,,
kFLOAT,kINT32,kINT8,,,,,
kFLOAT,kINT32,kINT32,,,,,
kFLOAT,kINT32,kBOOL,,,,,
,,,,,,,
kFLOAT,kBOOL,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation PROD has incompatible input types Float and Bool,,,,
kFLOAT,kBOOL,kHALF,,,,,
kFLOAT,kBOOL,kINT8,,,,,
kFLOAT,kBOOL,kINT32,,,,,
kFLOAT,kBOOL,kBOOL,,,,,
,,,,,,,
kHALF,kHALF,kFLOAT,"0.0f, 0.5f, 1.0f, 1.5f","0.0f, 0.5f, 1.0f, 1.5f","0
0.25
1
2.25",,
kHALF,kHALF,kHALF,,,"0
0.25
1
2.25",,
kHALF,kHALF,kINT8,,,"0
0
2
4",,
kHALF,kHALF,kINT32,,,"0
0
1
2",,
kHALF,kHALF,kBOOL,,,"0
1
1
1",,
,,,,,,,
